year,district,office,candidate,party,votes,percentage
2018,23,U.S. Senate,Dikeman,LIB,463,0.8
2018,23,Governor,Abbott,REP,36415,61.6
2018,23,Governor,Valdez,DEM,21643,36.6
2018,23,Governor,Tippetts,LIB,1038,1.8
2018,23,Lieutenant Governor,Patrick,REP,34175,58.0
2018,23,Lieutenant Governor,Collier,DEM,23409,39.8
2018,23,Lieutenant Governor,McKennon,LIB,1299,2.2
2018,23,Attorney General,Paxton,REP,33561,57.1
2018,24,U.S. Senate,Cruz,REP,45411,65.2
2018,24,U.S. Senate,O'Rourke,DEM,23655,34.0
2018,24,U.S. Senate,Dikeman,LIB,562,0.8
2018,24,Governor,Abbott,REP,48194,69.3
2018,24,Governor,Valdez,DEM,20131,29.0
2018,24,Governor,Tippetts,LIB,1182,1.7
2018,24,Lieutenant Governor,Patrick,REP,45158,65.2
2018,24,Lieutenant Governor,Collier,DEM,22677,32.7
2018,24,Lieutenant Governor,McKennon,LIB,1457,2.1
2018,24,Attorney General,Paxton,REP,44299,64.1
2018,25,U.S. Senate,Cruz,REP,31624,59.8
2018,25,U.S. Senate,O'Rourke,DEM,20897,39.5
2018,25,U.S. Senate,Dikeman,LIB,401,0.8
2018,25,Governor,Abbott,REP,33664,63.7
2018,25,Governor,Valdez,DEM,18404,34.8
2018,25,Governor,Tippetts,LIB,777,1.5
2018,25,Lieutenant Governor,Patrick,REP,31223,59.2
2018,25,Lieutenant Governor,Collier,DEM,20338,38.6
2018,25,Lieutenant Governor,McKennon,LIB,1158,2.2
2018,25,Attorney General,Paxton,REP,30896,58.8
2018,26,U.S. Senate,Cruz,REP,34871,57.3
2018,26,U.S. Senate,O'Rourke,DEM,25512,41.9
2018,26,U.S. Senate,Dikeman,LIB,458,0.8
2018,26,Governor,Abbott,REP,38225,62.9
2018,26,Governor,Valdez,DEM,21625,35.6
2018,26,Governor,Tippetts,LIB,915,1.5
2018,26,Lieutenant Governor,Patrick,REP,35375,58.4
2018,26,Lieutenant Governor,Collier,DEM,24028,39.7
2018,26,Lieutenant Governor,McKennon,LIB,1155,1.9
