year,district,office,candidate,party,votes,percentage
2018,25,Lieutenant Governor,Patrick,R,217360,60.3
2018,25,Lieutenant Governor,Collier,D,134362,37.3
2018,25,Lieutenant Governor,McKennon,L,8738,2.4
2018,25,Attorney General,Paxton,R,212031,59.0
2018,26,U.S. Senate,Cruz,R,76519,31.9
2018,26,U.S. Senate,O'Rourke,D,161169,67.2
2018,26,U.S. Senate,Dikeman,L,2267,0.9
2018,26,Governor,Abbott,R,90754,38.0
2018,26,Governor,Valdez,D,143378,60.1
2018,26,Governor,Tippetts,L,4435,1.9
2018,26,Lieutenant Governor,Patrick,R,81324,34.2
2018,26,Lieutenant Governor,Collier,D,150709,63.4
2018,26,Lieutenant Governor,McKennon,L,5750,2.4
2018,26,Attorney General,Paxton,R,75601,31.8
2018,27,U.S. Senate,Cruz,R,75537,41.1
2018,27,U.S. Senate,O'Rourke,D,106844,58.2
2018,27,U.S. Senate,Dikeman,L,1235,0.7
2018,27,Governor,Abbott,R,87717,48.0
2018,27,Governor,Valdez,D,92733,50.7
2018,27,Governor,Tippetts,L,2292,1.3
2018,27,Lieutenant Governor,Patrick,R,74676,41.4
2018,27,Lieutenant Governor,Collier,D,101250,56.2
2018,27,Lieutenant Governor,McKennon,L,4292,2.4
2018,27,Attorney General,Paxton,R,71920,39.9
2018,28,U.S. Senate,Cruz,R,192673,72.3
2018,28,U.S. Senate,O'Rourke,D,71914,27.0
2018,28,U.S. Senate,Dikeman,L,2079,0.8
2018,28,Governor,Abbott,R,200046,75.1
2018,28,Governor,Valdez,D,61781,23.2
2018,28,Governor,Tippetts,L,4484,1.7
2018,28,Lieutenant Governor,Patrick,R,182834,69.1
2018,28,Lieutenant Governor,Collier,D,75139,28.4
2018,28,Lieutenant Governor,McKennon,L,6796,2.6
2018,28,Attorney General,Paxton,R,187927,71.1
2018,29,U.S. Senate,Cruz,R,57885,26.6
2018,29,U.S. Senate,O'Rourke,D,158648,72.8
2018,29,U.S. Senate,Dikeman,L,1341,0.6
2018,29,Governor,Abbott,R,70175,32.7
2018,29,Governor,Valdez,D,140553,65.5
2018,29,Governor,Tippetts,L,3938,1.8
2018,29,Lieutenant Governor,Patrick,R,63102,29.8
2018,29,Lieutenant Governor,Collier,D,142551,67.2
2018,29,Lieutenant Governor,McKennon,L,6357,3.0
2018,29,Attorney General,Paxton,R,60366,28.5
2018,30,U.S. Senate,Cruz,R,182940,61.0
2018,30,U.S. Senate,O'Rourke,D,114449,38.2
2018,30,U.S. Senate,Dikeman,L,2401,0.8
2018,30,Governor,Abbott,R,195592,65.4
2018,30,Governor,Valdez,D,98071,32.8
2018,30,Governor,Tippetts,L,5260,1.8
2018,30,Lieutenant Governor,Patrick,R,182153,61.2
2018,30,Lieutenant Governor,Collier,D,108231,36.4
2018,30,Lieutenant Governor,McKennon,L,7103,2.4
2018,30,Attorney General,Paxton,R,180627,60.8
2018,31,U.S. Senate,Cruz,R,173509,77.2
2018,31,U.S. Senate,O'Rourke,D,49617,22.1
2018,31,U.S. Senate,Dikeman,L,1713,0.8
2018,31,Governor,Abbott,R,178141,79.4
2018,31,Governor,Valdez,D,43257,19.3
2018,31,Governor,Tippetts,L,3084,1.4
2018,31,Lieutenant Governor,Patrick,R,165643,74.2
2018,31,Lieutenant Governor,Collier,D,52381,23.5
2018,31,Lieutenant Governor,McKennon,L,5226,2.3
2018,31,Attorney General,Paxton,R,169485,76.0
2018,STATE,U.S. Senate,Cruz,R,3897409,47.0
2018,STATE,U.S. Senate,O'Rourke,D,201249,2.4
2018,STATE,U.S. Senate,Dikeman,L,4375981,53.2
2018,STATE,Governor,Abbott,R,3569799,43.4
2018,STATE,Governor,Valdez,D,280976,3.4
2018,STATE,Governor,Tippetts,L,4434366,53.7
2018,STATE,Lieutenant Governor,Patrick,R,3567001,43.2
2018,STATE,Lieutenant Governor,Collier,D,258406,3.1
2018,STATE,Lieutenant Governor,McKennon,L,4220727,51.3
2018,STATE,Attorney General,Paxton,R,3821185,46.4
2018,1,U.S. Senate,Cruz,R,76523,25.7
2018,1,U.S. Senate,O'Rourke,D,5101,1.7
2018,1,U.S. Senate,Dikeman,L,219551,74.3
2018,1,Governor,Abbott,R,69335,23.5
2018,1,Governor,Valdez,D,6689,2.3
2018,1,Governor,Tippetts,L,218583,73.7
2018,1,Lieutenant Governor,Patrick,R,69513,23.4
2018,1,Lieutenant Governor,Collier,D,8400,2.8
2018,1,Lieutenant Governor,McKennon,L,216727,73.2
2018,1,Attorney General,Paxton,R,74136,25.1
2018,2,U.S. Senate,Cruz,R,118404,41.4
2018,2,U.S. Senate,O'Rourke,D,6800,2.4
2018,2,U.S. Senate,Dikeman,L,168174,59.4
2018,2,Governor,Abbott,R,106031,37.4
2018,2,Governor,Valdez,D,9148,3.2
2018,2,Governor,Tippetts,L,171895,60.3
2018,2,Lieutenant Governor,Patrick,R,104846,36.8
2018,2,Lieutenant Governor,Collier,D,8193,2.9
2018,2,Lieutenant Governor,McKennon,L,163593,57.6
2018,2,Attorney General,Paxton,R,113943,40.1
2018,3,U.S. Senate,Cruz,R,80733,27.5
2018,3,U.S. Senate,O'Rourke,D,4515,1.5
2018,3,U.S. Senate,Dikeman,L,210425,72.1
2018,3,Governor,Abbott,R,74792,25.6
2018,3,Governor,Valdez,D,6526,2.2
2018,3,Governor,Tippetts,L,209941,71.6
2018,3,Lieutenant Governor,Patrick,R,75082,25.6
2018,3,Lieutenant Governor,Collier,D,8035,2.7
2018,3,Lieutenant Governor,McKennon,L,208105,71.2
2018,3,Attorney General,Paxton,R,79679,27.3
2018,4,U.S. Senate,Cruz,R,94963,32.9
2018,4,U.S. Senate,O'Rourke,D,5857,2.0
2018,4,U.S. Senate,Dikeman,L,194506,67.7
2018,4,Governor,Abbott,R,85408,29.7
2018,4,Governor,Valdez,D,7409,2.6
2018,4,Governor,Tippetts,L,192506,66.8
2018,4,Lieutenant Governor,Patrick,R,86766,30.1
2018,4,Lieutenant Governor,Collier,D,8852,3.1
2018,4,Lieutenant Governor,McKennon,L,189043,65.8
2018,4,Attorney General,Paxton,R,93029,32.4
2018,5,U.S. Senate,Cruz,R,111889,39.3
2018,5,U.S. Senate,O'Rourke,D,8796,3.1
2018,5,U.S. Senate,Dikeman,L,172280,61.1
2018,5,Governor,Abbott,R,99257,35.2
2018,5,Governor,Valdez,D,10551,3.7
2018,5,Governor,Tippetts,L,172167,60.8
2018,5,Lieutenant Governor,Patrick,R,99651,35.2
2018,5,Lieutenant Governor,Collier,D,11215,4.0
2018,5,Lieutenant Governor,McKennon,L,165342,58.5
2018,5,Attorney General,Paxton,R,108966,38.6
2018,6,U.S. Senate,Cruz,R,114542,71.9
2018,6,U.S. Senate,O'Rourke,D,2874,1.8
2018,6,U.S. Senate,Dikeman,L,43406,27.3
2018,6,Governor,Abbott,R,110503,69.6
2018,6,Governor,Valdez,D,4944,3.1
2018,6,Governor,Tippetts,L,44610,28.0
2018,6,Lieutenant Governor,Patrick,R,111484,70.1
2018,6,Lieutenant Governor,Collier,D,2960,1.9
2018,6,Lieutenant Governor,McKennon,L,41103,25.9
2018,6,Attorney General,Paxton,R,115256,72.6
2018,7,U.S. Senate,Cruz,R,116847,40.0
2018,7,U.S. Senate,O'Rourke,D,5976,2.0
2018,7,U.S. Senate,Dikeman,L,178239,61.3
2018,7,Governor,Abbott,R,105325,36.2
2018,7,Governor,Valdez,D,7425,2.6
2018,7,Governor,Tippetts,L,175962,60.4
2018,7,Lieutenant Governor,Patrick,R,107631,37.0
2018,7,Lieutenant Governor,Collier,D,7691,2.6
2018,7,Lieutenant Governor,McKennon,L,170726,58.7
2018,7,Attorney General,Paxton,R,115076,39.6
2018,8,U.S. Senate,Cruz,R,131508,41.3
2018,8,U.S. Senate,O'Rourke,D,8244,2.6
2018,8,U.S. Senate,Dikeman,L,187120,59.7
2018,8,Governor,Abbott,R,116869,37.3
2018,8,Governor,Valdez,D,9492,3.0
2018,8,Governor,Tippetts,L,191028,60.6
2018,8,Lieutenant Governor,Patrick,R,115037,36.5
2018,8,Lieutenant Governor,Collier,D,9340,3.0
2018,8,Lieutenant Governor,McKennon,L,181492,57.8
2018,8,Attorney General,Paxton,R,124971,39.8
2018,9,U.S. Senate,Cruz,R,118351,41.7
2018,9,U.S. Senate,O'Rourke,D,7439,2.6
2018,9,U.S. Senate,Dikeman,L,163972,58.3
2018,9,Governor,Abbott,R,107123,38.1
2018,9,Governor,Valdez,D,10395,3.7
2018,9,Governor,Tippetts,L,168022,59.4
2018,9,Lieutenant Governor,Patrick,R,105793,37.4
2018,9,Lieutenant Governor,Collier,D,9236,3.3
2018,9,Lieutenant Governor,McKennon,L,160181,56.8
2018,9,Attorney General,Paxton,R,114833,40.7
2018,10,U.S. Senate,Cruz,R,117513,41.3
2018,10,U.S. Senate,O'Rourke,D,6619,2.3
2018,10,U.S. Senate,Dikeman,L,165619,58.6
2018,10,Governor,Abbott,R,107807,38.2
2018,10,Governor,Valdez,D,9036,3.2
2018,10,Governor,Tippetts,L,168054,59.2
2018,10,Lieutenant Governor,Patrick,R,106934,37.7
2018,10,Lieutenant Governor,Collier,D,8921,3.1
2018,10,Lieutenant Governor,McKennon,L,162195,57.3
2018,10,Attorney General,Paxton,R,115015,40.6
2018,11,U.S. Senate,Cruz,R,116441,40.8
2018,11,U.S. Senate,O'Rourke,D,6638,2.3
2018,11,U.S. Senate,Dikeman,L,169446,59.7
2018,11,Governor,Abbott,R,105624,37.2
2018,11,Governor,Valdez,D,8794,3.1
2018,11,Governor,Tippetts,L,169345,59.5
2018,11,Lieutenant Governor,Patrick,R,106620,37.4
2018,11,Lieutenant Governor,Collier,D,8843,3.1
2018,11,Lieutenant Governor,McKennon,L,162794,57.3
