year,district,office,candidate,party,votes,percentage
2018,117,Attorney General,Paxton,REP,14152,34.3
2018,117,Governor,Valdez,DEM,23808,57.4
2018,117,Governor,Abbott,REP,16992,41.0
2018,117,Governor,Tippetts,LIB,677,1.6
2018,117,Lieutenant Governor,Collier,DEM,25207,61.0
2018,117,Lieutenant Governor,Patrick,REP,15177,36.7
2018,117,Lieutenant Governor,McKennon,LIB,962,2.3
2018,117,U.S. Senate,O'Rourke,DEM,27113,65.0
2018,117,U.S. Senate,Cruz,REP,14199,34.0
2018,117,U.S. Senate,Dikeman,LIB,418,1.0
2018,118,Attorney General,Paxton,REP,22629,46.4
2018,118,Governor,Abbott,REP,25839,52.7
2018,118,Governor,Valdez,DEM,22375,45.6
2018,118,Governor,Tippetts,LIB,803,1.6
2018,118,Lieutenant Governor,Patrick,REP,23891,48.9
2018,118,Lieutenant Governor,Collier,DEM,23891,48.9
2018,118,Lieutenant Governor,McKennon,LIB,1081,2.2
2018,118,U.S. Senate,O'Rourke,DEM,25598,52.0
2018,118,U.S. Senate,Cruz,REP,23145,47.0
2018,118,U.S. Senate,Dikeman,LIB,490,1.0
2018,119,Attorney General,Paxton,REP,14331,31.5
2018,119,Governor,Valdez,DEM,27554,60.2
2018,119,Governor,Abbott,REP,17485,38.2
2018,119,Governor,Tippetts,LIB,724,1.6
2018,119,Lieutenant Governor,Collier,DEM,28989,63.6
2018,119,Lieutenant Governor,Patrick,REP,15598,34.2
2018,119,Lieutenant Governor,McKennon,LIB,999,2.2
2018,119,U.S. Senate,O'Rourke,DEM,30978,67.4
2018,119,U.S. Senate,Cruz,REP,14578,31.7
2018,119,U.S. Senate,Dikeman,LIB,438,1.0
2018,12,Attorney General,Paxton,REP,41565,69.2
2018,12,Governor,Abbott,REP,44537,73.6
2018,12,Governor,Valdez,DEM,15193,25.1
2018,12,Governor,Tippetts,LIB,820,1.4
2018,12,Lieutenant Governor,Patrick,REP,41318,68.5
2018,12,Lieutenant Governor,Collier,DEM,17830,29.5
2018,12,Lieutenant Governor,McKennon,LIB,1194,2.0
2018,12,U.S. Senate,Cruz,REP,42707,70.4
2018,12,U.S. Senate,O'Rourke,DEM,17488,28.8
2018,12,U.S. Senate,Dikeman,LIB,435,0.7
2018,120,Attorney General,Paxton,REP,12778,30.2
2018,120,Governor,Valdez,DEM,26308,62.0
2018,120,Governor,Abbott,REP,15335,36.1
2018,120,Governor,Tippetts,LIB,792,1.9
2018,120,Lieutenant Governor,Collier,DEM,27591,65.2
2018,120,Lieutenant Governor,Patrick,REP,13744,32.5
2018,120,Lieutenant Governor,McKennon,LIB,993,2.3
2018,120,U.S. Senate,O'Rourke,DEM,29289,68.7
2018,120,U.S. Senate,Cruz,REP,12988,30.4
2018,120,U.S. Senate,Dikeman,LIB,385,0.9
2018,121,Attorney General,Paxton,REP,40270,51.9
2018,121,Governor,Abbott,REP,45753,58.6
2018,121,Governor,Valdez,DEM,30825,39.5
2018,121,Governor,Tippetts,LIB,1497,1.9
2018,121,Lieutenant Governor,Patrick,REP,41567,53.4
2018,121,Lieutenant Governor,Collier,DEM,34472,44.3
2018,121,Lieutenant Governor,McKennon,LIB,1746,2.2
2018,121,U.S. Senate,Cruz,REP,40896,52.2
2018,121,U.S. Senate,O'Rourke,DEM,36819,47.0
2018,121,U.S. Senate,Dikeman,LIB,693,0.9
2018,122,Attorney General,Paxton,REP,45497,56.2
2018,122,Governor,Abbott,REP,51207,62.9
2018,122,Governor,Valdez,DEM,28797,35.4
2018,122,Governor,Tippetts,LIB,1402,1.7
2018,122,Lieutenant Governor,Patrick,REP,47045,58.0
2018,122,Lieutenant Governor,Collier,DEM,32403,39.9
2018,122,Lieutenant Governor,McKennon,LIB,1697,2.1
2018,122,U.S. Senate,Cruz,REP,46009,56.3
2018,122,U.S. Senate,O'Rourke,DEM,35047,42.9
2018,122,U.S. Senate,Dikeman,LIB,641,0.8
2018,123,Attorney General,Paxton,REP,18100,31.4
2018,123,Governor,Valdez,DEM,35158,60.5
2018,123,Governor,Abbott,REP,21814,37.5
2018,123,Governor,Tippetts,LIB,1128,1.9
2018,123,Lieutenant Governor,Collier,DEM,37071,64.1
2018,123,Lieutenant Governor,Patrick,REP,19384,33.5
2018,123,Lieutenant Governor,McKennon,LIB,1405,2.4
2018,123,U.S. Senate,O'Rourke,DEM,39554,67.7
2018,123,U.S. Senate,Cruz,REP,18370,31.4
2018,123,U.S. Senate,Dikeman,LIB,530,0.9
2018,124,Attorney General,Paxton,REP,11426,28.9
2018,124,Governor,Valdez,DEM,24977,63.0
2018,124,Governor,Abbott,REP,13987,35.3
2018,124,Governor,Tippetts,LIB,662,1.7
2018,124,Lieutenant Governor,Collier,DEM,26065,66.0
2018,124,Lieutenant Governor,Patrick,REP,12497,31.6
2018,124,Lieutenant Governor,McKennon,LIB,950,2.4
2018,124,U.S. Senate,O'Rourke,DEM,28032,70.4
2018,124,U.S. Senate,Cruz,REP,11411,28.7
2018,124,U.S. Senate,Dikeman,LIB,384,1.0
2018,125,Attorney General,Paxton,REP,20819,35.7
2018,125,Governor,Valdez,DEM,32805,56.0
2018,125,Governor,Abbott,REP,24639,42.1
2018,125,Governor,Tippetts,LIB,1117,1.9
2018,125,Lieutenant Governor,Collier,DEM,34677,59.3
2018,125,Lieutenant Governor,Patrick,REP,22263,38.1
2018,125,Lieutenant Governor,McKennon,LIB,1492,2.6
2018,125,U.S. Senate,O'Rourke,DEM,37319,63.3
2018,125,U.S. Senate,Cruz,REP,21025,35.7
2018,125,U.S. Senate,Dikeman,LIB,573,1.0
2018,126,Attorney General,Paxton,REP,38534,59.1
2018,126,Governor,Abbott,REP,41939,64.1
2018,126,Governor,Valdez,DEM,22564,34.5
2018,126,Governor,Tippetts,LIB,917,1.4
2018,126,Lieutenant Governor,Patrick,REP,39150,59.9
2018,126,Lieutenant Governor,Collier,DEM,25072,38.4
2018,126,Lieutenant Governor,McKennon,LIB,1118,1.7
2018,126,U.S. Senate,Cruz,REP,38851,59.4
2018,126,U.S. Senate,O'Rourke,DEM,26058,39.8
2018,126,U.S. Senate,Dikeman,LIB,489,0.7
2018,127,Attorney General,Paxton,REP,40035,58.8
2018,127,Governor,Abbott,REP,43673,63.9
2018,127,Governor,Valdez,DEM,23777,34.8
2018,127,Governor,Tippetts,LIB,913,1.3
2018,127,Lieutenant Governor,Patrick,REP,41027,60.1
2018,127,Lieutenant Governor,Collier,DEM,26144,38.3
2018,127,Lieutenant Governor,McKennon,LIB,1100,1.6
2018,127,U.S. Senate,Cruz,REP,40573,59.3
2018,127,U.S. Senate,O'Rourke,DEM,27326,40.0
2018,127,U.S. Senate,Dikeman,LIB,487,0.7
2018,128,Attorney General,Paxton,REP,32058,65.8
2018,128,Governor,Abbott,REP,34060,69.7
2018,128,Governor,Valdez,DEM,14202,29.1
2018,128,Governor,Tippetts,LIB,609,1.2
2018,128,Lieutenant Governor,Patrick,REP,32390,66.4
2018,128,Lieutenant Governor,Collier,DEM,15643,32.1
2018,128,Lieutenant Governor,McKennon,LIB,770,1.6
2018,128,U.S. Senate,Cruz,REP,32586,66.8
2018,128,U.S. Senate,O'Rourke,DEM,15892,32.6
2018,128,U.S. Senate,Dikeman,LIB,318,0.7
2018,129,Attorney General,Paxton,REP,37639,55.7
2018,129,Governor,Abbott,REP,41744,61.5
2018,129,Governor,Valdez,DEM,25004,36.8
2018,129,Governor,Tippetts,LIB,1129,1.7
2018,129,Lieutenant Governor,Patrick,REP,38488,56.8
2018,129,Lieutenant Governor,Collier,DEM,27888,41.2
2018,129,Lieutenant Governor,McKennon,LIB,1386,2.0
2018,129,U.S. Senate,Cruz,REP,38281,56.3
2018,129,U.S. Senate,O'Rourke,DEM,29112,42.8
2018,129,U.S. Senate,Dikeman,LIB,565,0.8
2018,13,Attorney General,Paxton,REP,37878,68.8
2018,13,Governor,Abbott,REP,40588,73.2
2018,13,Governor,Valdez,DEM,14310,25.8
2018,13,Governor,Tippetts,LIB,560,1.0
2018,13,Lieutenant Governor,Patrick,REP,37526,68.0
2018,13,Lieutenant Governor,Collier,DEM,16719,30.3
2018,13,Lieutenant Governor,McKennon,LIB,913,1.7
2018,13,U.S. Senate,Cruz,REP,39131,70.5
2018,13,U.S. Senate,O'Rourke,DEM,16007,28.9
2018,13,U.S. Senate,Dikeman,LIB,330,0.6
2018,130,Attorney General,Paxton,REP,42384,66.3
2018,130,Governor,Abbott,REP,45448,70.8
2018,130,Governor,Valdez,DEM,17834,27.8
2018,130,Governor,Tippetts,LIB,884,1.4
2018,130,Lieutenant Governor,Patrick,REP,42737,66.7
2018,130,Lieutenant Governor,Collier,DEM,20223,31.6
2018,130,Lieutenant Governor,McKennon,LIB,1129,1.8
2018,130,U.S. Senate,Cruz,REP,42747,66.6
2018,130,U.S. Senate,O'Rourke,DEM,20968,32.7
2018,130,U.S. Senate,Dikeman,LIB,475,0.7
2018,131,Attorney General,Paxton,REP,5714,14.5
2018,131,Governor,Valdez,DEM,31698,80.4
