year,district,office,candidate,party,votes,percentage
2024,17,U.S. Senate,Andrus,W,19,0.0
2024,17,U.S. Senate,Brown,L,7472,2.4
2024,17,U.S. Senate,Cruz,R,182769,57.5
2024,17,U.S. Senate,Roche,W,52,0.0
2024,18,President,Harris,D,198661,76.3
2024,18,President,Oliver,L,1309,0.5
2024,18,President,Stein,G,2374,0.9
2024,18,President,Trump,R,57813,22.2
2024,18,President,Write-In,W,364,0.1
2024,18,U.S. Senate,Allred,D,201399,78.0
2024,18,U.S. Senate,Andrus,W,12,0.0
2024,18,U.S. Senate,Brown,L,6014,2.3
2024,18,U.S. Senate,Cruz,R,50637,19.6
2024,18,U.S. Senate,Roche,W,27,0.0
2024,19,President,Harris,D,66862,23.7
2024,19,President,Oliver,L,1655,0.6
2024,19,President,Stein,G,923,0.3
2024,19,President,Trump,R,212708,75.3
2024,19,President,Write-In,W,186,0.1
2024,19,U.S. Senate,Allred,D,69100,24.6
2024,19,U.S. Senate,Andrus,W,17,0.0
2024,19,U.S. Senate,Brown,L,6622,2.4
2024,19,U.S. Senate,Cruz,R,204554,73.0
2024,19,U.S. Senate,Roche,W,36,0.0
2024,20,President,Harris,D,144234,63.5
2024,20,President,Oliver,L,1224,0.5
2024,20,President,Stein,G,1504,0.7
2024,20,President,Trump,R,79607,35.0
2024,20,President,Write-In,W,682,0.3
2024,20,U.S. Senate,Allred,D,147207,66.6
2024,20,U.S. Senate,Andrus,W,12,0.0
2024,20,U.S. Senate,Brown,L,5952,2.7
2024,20,U.S. Senate,Cruz,R,67920,30.7
2024,20,U.S. Senate,Roche,W,0,0.0
2024,21,President,Harris,D,159559,38.5
2024,21,President,Oliver,L,2735,0.7
2024,21,President,Stein,G,1832,0.4
2024,21,President,Trump,R,249973,60.2
2024,21,President,Write-In,W,798,0.2
2024,21,U.S. Senate,Allred,D,165018,40.1
2024,21,U.S. Senate,Andrus,W,37,0.0
2024,21,U.S. Senate,Brown,L,9216,2.2
2024,21,U.S. Senate,Cruz,R,237615,57.7
2024,21,U.S. Senate,Roche,W,22,0.0
2024,22,President,Harris,D,132018,38.5
2024,22,President,Oliver,L,2036,0.6
2024,22,President,Stein,G,4895,1.4
2024,22,President,Trump,R,203339,59.2
2024,22,President,Write-In,W,953,0.3
2024,22,U.S. Senate,Allred,D,139058,41.0
2024,22,U.S. Senate,Andrus,W,1,0.0
2024,22,U.S. Senate,Brown,L,8704,2.6
2024,22,U.S. Senate,Cruz,R,191011,56.4
2024,22,U.S. Senate,Roche,W,10,0.0
2024,23,President,Harris,D,132598,41.9
2024,23,President,Oliver,L,1660,0.5
2024,23,President,Stein,G,1431,0.5
2024,23,President,Trump,R,180046,56.9
2024,23,President,Write-In,W,811,0.3
2024,23,U.S. Senate,Allred,D,138431,44.6
2024,23,U.S. Senate,Andrus,W,41,0.0
2024,23,U.S. Senate,Brown,L,7341,2.4
2024,23,U.S. Senate,Cruz,R,164661,53.0
2024,23,U.S. Senate,Roche,W,29,0.0
2024,24,President,Harris,D,153049,41.0
2024,24,President,Oliver,L,2829,0.8
2024,24,President,Stein,G,2879,0.8
2024,24,President,Trump,R,213062,57.1
2024,24,President,Write-In,W,1211,0.3
2024,24,U.S. Senate,Allred,D,161074,43.2
2024,24,U.S. Senate,Andrus,W,12,0.0
2024,24,U.S. Senate,Brown,L,7897,2.1
2024,24,U.S. Senate,Cruz,R,203511,54.6
2024,24,U.S. Senate,Roche,W,54,0.0
2024,25,President,Harris,D,115586,37.4
2024,25,President,Oliver,L,1755,0.6
2024,25,President,Stein,G,1571,0.5
2024,25,President,Trump,R,189974,61.4
2024,25,President,Write-In,W,318,0.1
2024,25,U.S. Senate,Allred,D,121251,39.4
2024,25,U.S. Senate,Andrus,W,19,0.0
2024,25,U.S. Senate,Brown,L,6749,2.2
2024,25,U.S. Senate,Cruz,R,179671,58.4
2024,25,U.S. Senate,Roche,W,48,0.0
2024,26,President,Harris,D,144933,37.4
2024,26,President,Oliver,L,2576,0.7
2024,26,President,Stein,G,2477,0.6
2024,26,President,Trump,R,237076,61.2
2024,26,President,Write-In,W,329,0.1
2024,26,U.S. Senate,Allred,D,152638,39.5
2024,26,U.S. Senate,Andrus,W,32,0.0
2024,26,U.S. Senate,Brown,L,8168,2.1
2024,26,U.S. Senate,Cruz,R,225803,58.4
2024,26,U.S. Senate,Roche,W,61,0.0
2024,27,President,Harris,D,125431,38.7
2024,27,President,Oliver,L,1968,0.6
2024,27,President,Stein,G,1432,0.4
2024,27,President,Trump,R,194210,60.0
2024,27,President,Write-In,W,675,0.2
2024,27,U.S. Senate,Allred,D,129727,40.4
2024,27,U.S. Senate,Andrus,W,7,0.0
2024,27,U.S. Senate,Brown,L,7650,2.4
2024,27,U.S. Senate,Cruz,R,183509,57.2
2024,27,U.S. Senate,Roche,W,17,0.0
2024,28,President,Harris,D,88386,44.4
2024,28,President,Oliver,L,636,0.3
2024,28,President,Stein,G,779,0.4
2024,28,President,Trump,R,109011,54.8
2024,28,President,Write-In,W,144,0.1
2024,28,U.S. Senate,Allred,D,92823,48.6
2024,28,U.S. Senate,Andrus,W,4,0.0
2024,28,U.S. Senate,Brown,L,4973,2.6
2024,28,U.S. Senate,Cruz,R,93047,48.8
2024,28,U.S. Senate,Roche,W,6,0.0
2024,29,President,Harris,D,116208,64.7
2024,29,President,Oliver,L,991,0.6
2024,29,President,Stein,G,1334,0.7
2024,29,President,Trump,R,61069,34.0
2024,29,President,Write-In,W,119,0.1
2024,29,U.S. Senate,Allred,D,120533,67.7
2024,29,U.S. Senate,Andrus,W,14,0.0
2024,29,U.S. Senate,Brown,L,5151,2.9
2024,29,U.S. Senate,Cruz,R,52284,29.4
2024,29,U.S. Senate,Roche,W,20,0.0
2024,30,President,Harris,D,177375,72.7
2024,30,President,Oliver,L,1442,0.6
2024,30,President,Stein,G,1802,0.7
2024,30,President,Trump,R,62616,25.7
2024,30,President,Write-In,W,700,0.3
2024,30,U.S. Senate,Allred,D,181319,75.2
2024,30,U.S. Senate,Andrus,W,3,0.0
2024,30,U.S. Senate,Brown,L,5528,2.3
2024,30,U.S. Senate,Cruz,R,54404,22.5
2024,30,U.S. Senate,Roche,W,15,0.0
2024,31,President,Harris,D,134798,38.3
2024,31,President,Oliver,L,2486,0.7
2024,31,President,Stein,G,1735,0.5
2024,31,President,Trump,R,211460,60.1
2024,31,President,Write-In,W,1137,0.3
2024,31,U.S. Senate,Allred,D,138543,39.8
2024,31,U.S. Senate,Andrus,W,6,0.0
2024,31,U.S. Senate,Brown,L,9100,2.6
2024,31,U.S. Senate,Cruz,R,200303,57.6
2024,31,U.S. Senate,Roche,W,6,0.0
2024,32,President,Harris,D,129733,40.0
2024,32,President,Oliver,L,2208,0.7
2024,32,President,Stein,G,3633,1.1
2024,32,President,Trump,R,187134,57.7
2024,32,President,Write-In,W,1396,0.4
2024,32,U.S. Senate,Allred,D,137124,42.7
2024,32,U.S. Senate,Andrus,W,2,0.0
2024,32,U.S. Senate,Brown,L,6811,2.1
2024,32,U.S. Senate,Cruz,R,177008,55.2
2024,32,U.S. Senate,Roche,W,11,0.0
2024,33,President,Harris,D,136253,65.2
2024,33,President,Oliver,L,1480,0.7
2024,33,President,Stein,G,2197,1.1
2024,33,President,Trump,R,68122,32.6
2024,33,President,Write-In,W,997,0.5
2024,33,U.S. Senate,Allred,D,141492,68.7
2024,33,U.S. Senate,Andrus,W,0,0.0
2024,33,U.S. Senate,Brown,L,5339,2.6
2024,33,U.S. Senate,Cruz,R,59009,28.7
2024,33,U.S. Senate,Roche,W,0,0.0
2024,34,President,Harris,D,106950,44.5
2024,34,President,Oliver,L,1080,0.4
2024,34,President,Stein,G,905,0.4
2024,34,President,Trump,R,131303,54.6
2024,34,President,Write-In,W,267,0.1
2024,34,U.S. Senate,Allred,D,113561,47.8
2024,34,U.S. Senate,Andrus,W,0,0.0
2024,34,U.S. Senate,Brown,L,5750,2.4
2024,34,U.S. Senate,Cruz,R,118086,49.7
2024,34,U.S. Senate,Roche,W,0,0.0
2024,35,President,Harris,D,133361,44.2
2024,35,President,Oliver,L,1627,0.5
2024,35,President,Stein,G,1283,0.4
2024,35,President,Trump,R,164846,54.6
2024,35,President,Write-In,W,759,0.3
2024,35,U.S. Senate,Allred,D,138491,46.8
2024,35,U.S. Senate,Andrus,W,10,0.0
2024,35,U.S. Senate,Brown,L,7470,2.5
2024,35,U.S. Senate,Cruz,R,149717,50.6
2024,35,U.S. Senate,Roche,W,0,0.0
2024,36,President,Harris,D,98134,32.6
2024,36,President,Oliver,L,1435,0.5
2024,36,President,Stein,G,1741,0.6
2024,36,President,Trump,R,199113,66.2
2024,36,President,Write-In,W,278,0.1
2024,36,U.S. Senate,Allred,D,102422,34.3
2024,36,U.S. Senate,Andrus,W,16,0.0
2024,36,U.S. Senate,Brown,L,6472,2.2
2024,36,U.S. Senate,Cruz,R,189367,63.5
2024,36,U.S. Senate,Roche,W,40,0.0
2024,37,President,Harris,D,252559,76.8
2024,37,President,Oliver,L,2498,0.8
2024,37,President,Stein,G,3698,1.1
2024,37,President,Trump,R,67801,20.6
2024,37,President,Write-In,W,2197,0.7
2024,37,U.S. Senate,Allred,D,257704,79.2
2024,37,U.S. Senate,Andrus,W,0,0.0
2024,37,U.S. Senate,Brown,L,7881,2.4
2024,37,U.S. Senate,Cruz,R,59859,18.4
2024,37,U.S. Senate,Roche,W,0,0.0
2024,38,President,Harris,D,136738,38.9
2024,38,President,Oliver,L,2449,0.7
2024,38,President,Stein,G,3810,1.1
2024,38,President,Trump,R,208560,59.3
2024,38,President,Write-In,W,245,0.1
2024,38,U.S. Senate,Allred,D,144364,41.1
2024,38,U.S. Senate,Andrus,W,11,0.0
2024,38,U.S. Senate,Brown,L,8719,2.5
2024,38,U.S. Senate,Cruz,R,198100,56.4
2024,38,U.S. Senate,Roche,W,58,0.0
