year,district,office,candidate,party,votes,percentage
2020,22,U.S. Senate,Cornyn,R,233612,61.2
2020,22,U.S. Senate,Hegar,D,137991,36.2
2020,22,U.S. Senate,McKennon,L,7149,1.9
2020,22,U.S. Senate,Collins,G,2706,0.7
2020,22,Railroad Commissioner,Castaneda,D,132973,35.3
2020,23,President,Biden,D,264146,77.5
2020,23,President,Trump,R,72143,21.2
2020,23,President,Jorgensen,L,2924,0.9
2020,23,President,Hawkins,G,1512,0.4
2020,23,President,Write-In,W,11,0.0
2020,23,U.S. Senate,Cornyn,R,77196,22.8
2020,23,U.S. Senate,Hegar,D,252510,74.5
2020,23,U.S. Senate,McKennon,L,5931,1.7
2020,23,U.S. Senate,Collins,G,3422,1.0
2020,23,Railroad Commissioner,Castaneda,D,252533,74.9
2020,24,President,Biden,D,156584,39.4
2020,24,President,Trump,R,233635,58.7
2020,24,President,Jorgensen,L,5636,1.4
2020,24,President,Hawkins,G,1092,0.3
2020,24,President,Write-In,W,864,0.2
2020,24,U.S. Senate,Cornyn,R,235871,60.0
2020,24,U.S. Senate,Hegar,D,147008,37.4
2020,24,U.S. Senate,McKennon,L,7852,2.0
2020,24,U.S. Senate,Collins,G,2067,0.5
2020,24,Railroad Commissioner,Castaneda,D,140621,36.2
2020,25,President,Biden,D,199751,40.1
2020,25,President,Trump,R,290020,58.3
2020,25,President,Jorgensen,L,6204,1.2
2020,25,President,Hawkins,G,1085,0.2
2020,25,President,Write-In,W,582,0.1
2020,25,U.S. Senate,Cornyn,R,301005,61.1
2020,25,U.S. Senate,Hegar,D,180790,36.7
2020,25,U.S. Senate,McKennon,L,8590,1.7
2020,25,U.S. Senate,Collins,G,2368,0.5
2020,25,Railroad Commissioner,Castaneda,D,176755,36.4
2020,26,President,Biden,D,212130,64.9
2020,26,President,Trump,R,109171,33.4
2020,26,President,Jorgensen,L,3741,1.1
2020,26,President,Hawkins,G,1462,0.4
2020,26,President,Write-In,W,204,0.1
2020,26,U.S. Senate,Cornyn,R,112953,35.4
2020,26,U.S. Senate,Hegar,D,195647,61.4
2020,26,U.S. Senate,McKennon,L,7042,2.2
2020,26,U.S. Senate,Collins,G,3212,1.0
2020,26,Railroad Commissioner,Castaneda,D,198306,62.6
2020,27,President,Biden,D,136701,51.7
2020,27,President,Trump,R,124352,47.1
2020,27,President,Jorgensen,L,1966,0.7
2020,27,President,Hawkins,G,896,0.3
2020,27,President,Write-In,W,255,0.1
2020,27,U.S. Senate,Cornyn,R,118177,46.4
2020,27,U.S. Senate,Hegar,D,128454,50.4
2020,27,U.S. Senate,McKennon,L,4938,1.9
2020,27,U.S. Senate,Collins,G,3131,1.2
2020,27,Railroad Commissioner,Castaneda,D,132622,53.0
2020,28,President,Biden,D,90616,25.8
2020,28,President,Trump,R,255182,72.7
2020,28,President,Jorgensen,L,4208,1.2
2020,28,President,Hawkins,G,816,0.2
2020,28,President,Write-In,W,244,0.1
2020,28,U.S. Senate,Cornyn,R,254077,73.4
2020,28,U.S. Senate,Hegar,D,83286,24.1
2020,28,U.S. Senate,McKennon,L,7078,2.0
2020,28,U.S. Senate,Collins,G,1853,0.5
2020,28,Railroad Commissioner,Castaneda,D,79121,23.2
2020,29,President,Biden,D,185726,65.2
2020,29,President,Trump,R,94771,33.3
2020,29,President,Jorgensen,L,2966,1.0
2020,29,President,Hawkins,G,1508,0.5
2020,29,President,Write-In,W,13,0.0
2020,29,U.S. Senate,Cornyn,R,89817,32.4
2020,29,U.S. Senate,Hegar,D,172232,62.2
2020,29,U.S. Senate,McKennon,L,8601,3.1
2020,29,U.S. Senate,Collins,G,6207,2.2
2020,29,Railroad Commissioner,Castaneda,D,168074,61.6
2020,30,President,Biden,D,159983,37.6
2020,30,President,Trump,R,258982,60.8
2020,30,President,Jorgensen,L,5101,1.2
2020,30,President,Hawkins,G,1079,0.3
2020,30,President,Write-In,W,485,0.1
2020,30,U.S. Senate,Cornyn,R,262384,62.4
2020,30,U.S. Senate,Hegar,D,147006,35.0
2020,30,U.S. Senate,McKennon,L,8307,2.0
2020,30,U.S. Senate,Collins,G,2457,0.6
2020,30,Railroad Commissioner,Castaneda,D,138951,33.6
2020,31,President,Biden,D,62274,20.4
2020,31,President,Trump,R,239238,78.2
2020,31,President,Jorgensen,L,3516,1.1
2020,31,President,Hawkins,G,680,0.2
2020,31,President,Write-In,W,104,0.0
2020,31,U.S. Senate,Cornyn,R,236840,78.5
2020,31,U.S. Senate,Hegar,D,57748,19.1
2020,31,U.S. Senate,McKennon,L,5737,1.9
2020,31,U.S. Senate,Collins,G,1458,0.5
2020,31,Railroad Commissioner,Castaneda,D,57039,19.0
