year,district,office,candidate,party,votes,percentage
2018,18,Governor,Tippetts,L,512,0.9
2018,18,Lieutenant Governor,Patrick,R,44961,80.4
2018,18,Lieutenant Governor,Collier,D,10115,18.1
2018,18,Lieutenant Governor,McKennon,L,821,1.5
2018,18,Attorney General,Paxton,R,44659,80.3
2018,19,U.S. Senate,Cruz,R,60931,69.5
2018,19,U.S. Senate,O'Rourke,D,25969,29.6
2018,19,U.S. Senate,Dikeman,L,812,0.9
2018,19,Governor,Abbott,R,64597,73.8
2018,19,Governor,Valdez,D,21286,24.3
2018,19,Governor,Tippetts,L,1688,1.9
2018,19,Lieutenant Governor,Patrick,R,60271,69.0
2018,19,Lieutenant Governor,Collier,D,24908,28.5
2018,19,Lieutenant Governor,McKennon,L,2142,2.5
2018,19,Attorney General,Paxton,R,58998,68.2
2018,20,U.S. Senate,Cruz,R,43418,56.1
2018,20,U.S. Senate,O'Rourke,D,33079,42.7
2018,20,U.S. Senate,Dikeman,L,946,1.2
2018,20,Governor,Abbott,R,47722,61.8
2018,20,Governor,Valdez,D,27715,35.9
2018,20,Governor,Tippetts,L,1840,2.4
2018,20,Lieutenant Governor,Patrick,R,43808,56.9
2018,20,Lieutenant Governor,Collier,D,30885,40.1
2018,20,Lieutenant Governor,McKennon,L,2323,3.0
2018,20,Attorney General,Paxton,R,42532,55.4
2018,21,U.S. Senate,Cruz,R,49150,76.9
2018,21,U.S. Senate,O'Rourke,D,14471,22.6
2018,21,U.S. Senate,Dikeman,L,323,0.5
2018,21,Governor,Abbott,R,50728,79.4
2018,21,Governor,Valdez,D,12513,19.6
2018,21,Governor,Tippetts,L,620,1.0
2018,21,Lieutenant Governor,Patrick,R,47944,75.5
2018,21,Lieutenant Governor,Collier,D,14642,23.1
2018,21,Lieutenant Governor,McKennon,L,910,1.4
2018,21,Attorney General,Paxton,R,48065,75.7
2018,22,U.S. Senate,Cruz,R,18174,37.6
2018,22,U.S. Senate,O'Rourke,D,29896,61.9
2018,22,U.S. Senate,Dikeman,L,221,0.5
2018,22,Governor,Abbott,R,19644,40.6
2018,22,Governor,Valdez,D,28263,58.5
2018,22,Governor,Tippetts,L,428,0.9
2018,22,Lieutenant Governor,Patrick,R,17918,37.3
2018,22,Lieutenant Governor,Collier,D,29619,61.6
2018,22,Lieutenant Governor,McKennon,L,526,1.1
2018,22,Attorney General,Paxton,R,17767,36.9
2018,23,U.S. Senate,Cruz,R,34376,58.1
2018,23,U.S. Senate,O'Rourke,D,24336,41.1
2018,23,U.S. Senate,Dikeman,L,463,0.8
2018,23,Governor,Abbott,R,36415,61.6
2018,23,Governor,Valdez,D,21643,36.6
2018,23,Governor,Tippetts,L,1038,1.8
2018,23,Lieutenant Governor,Patrick,R,34175,58.0
2018,23,Lieutenant Governor,Collier,D,23409,39.8
2018,23,Lieutenant Governor,McKennon,L,1299,2.2
2018,23,Attorney General,Paxton,R,33561,57.1
2018,24,U.S. Senate,Cruz,R,45411,65.2
2018,24,U.S. Senate,O'Rourke,D,23655,34.0
2018,24,U.S. Senate,Dikeman,L,562,0.8
2018,24,Governor,Abbott,R,48194,69.3
2018,24,Governor,Valdez,D,20131,29.0
2018,24,Governor,Tippetts,L,1182,1.7
2018,24,Lieutenant Governor,Patrick,R,45158,65.2
2018,24,Lieutenant Governor,Collier,D,22677,32.7
2018,24,Lieutenant Governor,McKennon,L,1457,2.1
2018,24,Attorney General,Paxton,R,44299,64.1
2018,25,U.S. Senate,Cruz,R,31624,59.8
2018,25,U.S. Senate,O'Rourke,D,20897,39.5
2018,25,U.S. Senate,Dikeman,L,401,0.8
2018,25,Governor,Abbott,R,33664,63.7
2018,25,Governor,Valdez,D,18404,34.8
2018,25,Governor,Tippetts,L,777,1.5
2018,25,Lieutenant Governor,Patrick,R,31223,59.2
2018,25,Lieutenant Governor,Collier,D,20338,38.6
2018,25,Lieutenant Governor,McKennon,L,1158,2.2
2018,25,Attorney General,Paxton,R,30896,58.8
2018,26,U.S. Senate,Cruz,R,34871,57.3
2018,26,U.S. Senate,O'Rourke,D,25512,41.9
2018,26,U.S. Senate,Dikeman,L,458,0.8
2018,26,Governor,Abbott,R,38225,62.9
2018,26,Governor,Valdez,D,21625,35.6
2018,26,Governor,Tippetts,L,915,1.5
2018,26,Lieutenant Governor,Patrick,R,35375,58.4
2018,26,Lieutenant Governor,Collier,D,24028,39.7
2018,26,Lieutenant Governor,McKennon,L,1155,1.9
2018,26,Attorney General,Paxton,R,34669,57.3
2018,27,U.S. Senate,Cruz,R,16666,25.9
2018,27,U.S. Senate,O'Rourke,D,47268,73.5
2018,27,U.S. Senate,Dikeman,L,335,0.5
2018,27,Governor,Abbott,R,20503,32.0
2018,27,Governor,Valdez,D,42624,66.5
2018,27,Governor,Tippetts,L,938,1.5
2018,27,Lieutenant Governor,Patrick,R,17605,27.5
2018,27,Lieutenant Governor,Collier,D,45359,70.9
2018,27,Lieutenant Governor,McKennon,L,986,1.5
2018,27,Attorney General,Paxton,R,16592,26.0
2018,28,U.S. Senate,Cruz,R,33522,56.1
2018,28,U.S. Senate,O'Rourke,D,25830,43.2
2018,28,U.S. Senate,Dikeman,L,387,0.6
2018,28,Governor,Abbott,R,36712,61.6
2018,28,Governor,Valdez,D,22092,37.1
2018,28,Governor,Tippetts,L,799,1.3
2018,28,Lieutenant Governor,Patrick,R,34025,57.3
2018,28,Lieutenant Governor,Collier,D,24365,41.0
2018,28,Lieutenant Governor,McKennon,L,972,1.6
2018,28,Attorney General,Paxton,R,33248,56.1
2018,29,U.S. Senate,Cruz,R,34069,57.9
2018,29,U.S. Senate,O'Rourke,D,24331,41.4
2018,29,U.S. Senate,Dikeman,L,431,0.7
2018,29,Governor,Abbott,R,36709,62.5
2018,29,Governor,Valdez,D,21132,36.0
2018,29,Governor,Tippetts,L,860,1.5
2018,29,Lieutenant Governor,Patrick,R,34274,58.5
2018,29,Lieutenant Governor,Collier,D,23167,39.5
2018,29,Lieutenant Governor,McKennon,L,1155,2.0
2018,29,Attorney General,Paxton,R,33550,57.4
2018,30,U.S. Senate,Cruz,R,44230,74.5
2018,30,U.S. Senate,O'Rourke,D,14784,24.9
2018,30,U.S. Senate,Dikeman,L,340,0.6
2018,30,Governor,Abbott,R,45681,77.0
2018,30,Governor,Valdez,D,13016,22.0
2018,30,Governor,Tippetts,L,591,1.0
2018,30,Lieutenant Governor,Patrick,R,42995,73.0
2018,30,Lieutenant Governor,Collier,D,14961,25.4
2018,30,Lieutenant Governor,McKennon,L,959,1.6
2018,30,Attorney General,Paxton,R,42714,72.7
2018,31,U.S. Senate,Cruz,R,25654,53.3
2018,31,U.S. Senate,O'Rourke,D,22142,46.0
2018,31,U.S. Senate,Dikeman,L,297,0.6
2018,31,Governor,Abbott,R,27792,58.8
2018,31,Governor,Valdez,D,18999,40.2
2018,31,Governor,Tippetts,L,437,0.9
2018,31,Lieutenant Governor,Patrick,R,24437,53.0
2018,31,Lieutenant Governor,Collier,D,20823,45.1
2018,31,Lieutenant Governor,McKennon,L,861,1.9
2018,31,Attorney General,Paxton,R,23861,51.8
2018,32,U.S. Senate,Cruz,R,34676,58.1
2018,32,U.S. Senate,O'Rourke,D,24517,41.1
2018,32,U.S. Senate,Dikeman,L,494,0.8
2018,32,Governor,Abbott,R,38722,65.0
2018,32,Governor,Valdez,D,19970,33.5
2018,32,Governor,Tippetts,L,910,1.5
2018,32,Lieutenant Governor,Patrick,R,34605,58.6
2018,32,Lieutenant Governor,Collier,D,23065,39.0
2018,32,Lieutenant Governor,McKennon,L,1425,2.4
2018,32,Attorney General,Paxton,R,34155,57.9
2018,33,U.S. Senate,Cruz,R,39036,60.0
