year,district,page,raw_row
2018,148,5,"['148', '88,845', '31.6 %', '43,535', '49.0 %']"
2018,149,5,"['149', '89,675', '23.3 %', '39,635', '44.2 %']"
2018,150,5,"['150', '102,691', '15.2 %', '57,016', '55.5 %']"
2018,1,6,"['1', '47,345', '74.4 %', '15,929', '25.0 %', '392', '0.6 %', '48,519', '76.2 %', '14,503', '22.8 %', '627', '1.0 %', '44,928', '70.8 %', '17,582', '27.7 %', '924', '1.5 %', '46,141', '72.9 %']"
2018,2,6,"['2', '45,603', '78.2 %', '12,330', '21.1 %', '407', '0.7 %', '47,220', '81.1 %', '10,314', '17.7 %', '708', '1.2 %', '44,203', '76.2 %', '12,802', '22.1 %', '992', '1.7 %', '44,092', '76.3 %']"
2018,3,6,"['3', '44,226', '76.5 %', '13,197', '22.8 %', '416', '0.7 %', '46,247', '79.8 %', '10,992', '19.0 %', '733', '1.3 %', '44,309', '76.5 %', '12,550', '21.7 %', '1,025', '1.8 %', '43,905', '76.0 %']"
2018,4,6,"['4', '37,372', '70.4 %', '15,366', '28.9 %', '375', '0.7 %', '39,301', '73.9 %', '13,145', '24.7 %', '739', '1.4 %', '36,949', '69.6 %', '15,129', '28.5 %', '996', '1.9 %', '36,622', '69.2 %']"
2018,5,6,"['5', '49,017', '79.1 %', '12,521', '20.2 %', '399', '0.6 %', '50,164', '80.8 %', '11,243', '18.1 %', '652', '1.1 %', '46,979', '76.0 %', '13,822', '22.4 %', '1,038', '1.7 %', '48,013', '77.8 %']"
2018,6,6,"['6', '42,395', '67.8 %', '19,725', '31.6 %', '370', '0.6 %', '44,075', '70.7 %', '17,492', '28.1 %', '761', '1.2 %', '41,848', '67.5 %', '19,056', '30.7 %', '1,133', '1.8 %', '41,735', '67.4 %']"
2018,7,6,"['7', '43,243', '69.7 %', '18,396', '29.7 %', '387', '0.6 %', '44,858', '72.3 %', '16,516', '26.6 %', '698', '1.1 %', '41,634', '67.3 %', '19,187', '31.0 %', '1,053', '1.7 %', '42,359', '68.6 %']"
2018,8,6,"['8', '42,984', '77.0 %', '12,476', '22.3 %', '386', '0.7 %', '44,448', '79.3 %', '10,982', '19.6 %', '609', '1.1 %', '42,004', '75.2 %', '12,945', '23.2 %', '884', '1.6 %', '42,107', '75.5 %']"
2018,9,6,"['9', '49,843', '75.6 %', '15,669', '23.8 %', '377', '0.6 %', '51,160', '77.8 %', '13,918', '21.2 %', '642', '1.0 %', '47,811', '73.0 %', '16,649', '25.4 %', '1,014', '1.5 %', '48,554', '74.3 %']"
2018,10,6,"['10', '41,022', '67.7 %', '19,106', '31.5 %', '461', '0.8 %', '43,647', '72.1 %', '15,879', '26.2 %', '975', '1.6 %', '40,204', '66.8 %', '18,647', '31.0 %', '1,336', '2.2 %', '39,882', '66.4 %']"
2018,11,6,"['11', '46,614', '74.1 %', '15,949', '25.4 %', '303', '0.5 %', '47,835', '76.3 %', '14,264', '22.8 %', '568', '0.9 %', '44,393', '71.4 %', '16,881', '27.1 %', '933', '1.5 %', '45,610', '73.4 %']"
2018,12,6,"['12', '42,707', '70.4 %', '17,488', '28.8 %', '435', '0.7 %', '44,537', '73.6 %', '15,193', '25.1 %', '820', '1.4 %', '41,318', '68.5 %', '17,830', '29.5 %', '1,194', '2.0 %', '41,565', '69.2 %']"
2018,13,6,"['13', '39,131', '70.5 %', '16,007', '28.9 %', '330', '0.6 %', '40,588', '73.2 %', '14,310', '25.8 %', '560', '1.0 %', '37,526', '68.0 %', '16,719', '30.3 %', '913', '1.7 %', '37,878', '68.8 %']"
2018,14,6,"['14', '28,748', '53.3 %', '24,593', '45.6 %', '551', '1.0 %', '31,818', '59.4 %', '20,559', '38.4 %', '1,220', '2.3 %', '28,663', '53.9 %', '22,721', '42.7 %', '1,788', '3.4 %', '28,743', '54.2 %']"
2018,15,6,"['15', '44,053', '63.7 %', '24,515', '35.5 %', '568', '0.8 %', '47,524', '68.8 %', '20,402', '29.6 %', '1,103', '1.6 %', '44,555', '64.7 %', '22,773', '33.1 %', '1,518', '2.2 %', '43,752', '63.7 %']"
2018,16,6,"['16', '44,109', '77.4 %', '12,471', '21.9 %', '405', '0.7 %', '45,739', '80.0 %', '10,712', '18.7 %', '696', '1.2 %', '43,873', '77.0 %', '12,136', '21.3 %', '992', '1.7 %', '43,519', '76.5 %']"
2018,17,6,"['17', '36,702', '61.9 %', '22,055', '37.2 %', '570', '1.0 %', '39,058', '65.9 %', '19,117', '32.2 %', '1,105', '1.9 %', '35,954', '60.9 %', '21,552', '36.5 %', '1,529', '2.6 %', '35,340', '60.0 %']"
2018,18,6,"['18', '45,938', '81.8 %', '9,927', '17.7 %', '284', '0.5 %', '46,931', '83.7 %', '8,610', '15.4 %', '512', '0.9 %', '44,961', '80.4 %', '10,115', '18.1 %', '821', '1.5 %', '44,659', '80.3 %']"
2018,19,6,"['19', '60,931', '69.5 %', '25,969', '29.6 %', '812', '0.9 %', '64,597', '73.8 %', '21,286', '24.3 %', '1,688', '1.9 %', '60,271', '69.0 %', '24,908', '28.5 %', '2,142', '2.5 %', '58,998', '68.2 %']"
2018,20,6,"['20', '43,418', '56.1 %', '33,079', '42.7 %', '946', '1.2 %', '47,722', '61.8 %', '27,715', '35.9 %', '1,840', '2.4 %', '43,808', '56.9 %', '30,885', '40.1 %', '2,323', '3.0 %', '42,532', '55.4 %']"
2018,21,6,"['21', '49,150', '76.9 %', '14,471', '22.6 %', '323', '0.5 %', '50,728', '79.4 %', '12,513', '19.6 %', '620', '1.0 %', '47,944', '75.5 %', '14,642', '23.1 %', '910', '1.4 %', '48,065', '75.7 %']"
2018,22,6,"['22', '18,174', '37.6 %', '29,896', '61.9 %', '221', '0.5 %', '19,644', '40.6 %', '28,263', '58.5 %', '428', '0.9 %', '17,918', '37.3 %', '29,619', '61.6 %', '526', '1.1 %', '17,767', '36.9 %']"
2018,23,6,"['23', '34,376', '58.1 %', '24,336', '41.1 %', '463', '0.8 %', '36,415', '61.6 %', '21,643', '36.6 %', '1,038', '1.8 %', '34,175', '58.0 %', '23,409', '39.8 %', '1,299', '2.2 %', '33,561', '57.1 %']"
2018,24,6,"['24', '45,411', '65.2 %', '23,655', '34.0 %', '562', '0.8 %', '48,194', '69.3 %', '20,131', '29.0 %', '1,182', '1.7 %', '45,158', '65.2 %', '22,677', '32.7 %', '1,457', '2.1 %', '44,299', '64.1 %']"
2018,25,6,"['25', '31,624', '59.8 %', '20,897', '39.5 %', '401', '0.8 %', '33,664', '63.7 %', '18,404', '34.8 %', '777', '1.5 %', '31,223', '59.2 %', '20,338', '38.6 %', '1,158', '2.2 %', '30,896', '58.8 %']"
2018,26,6,"['26', '34,871', '57.3 %', '25,512', '41.9 %', '458', '0.8 %', '38,225', '62.9 %', '21,625', '35.6 %', '915', '1.5 %', '35,375', '58.4 %', '24,028', '39.7 %', '1,155', '1.9 %', '34,669', '57.3 %']"
2018,27,6,"['27', '16,666', '25.9 %', '47,268', '73.5 %', '335', '0.5 %', '20,503', '32.0 %', '42,624', '66.5 %', '938', '1.5 %', '17,605', '27.5 %', '45,359', '70.9 %', '986', '1.5 %', '16,592', '26.0 %']"
2018,28,6,"['28', '33,522', '56.1 %', '25,830', '43.2 %', '387', '0.6 %', '36,712', '61.6 %', '22,092', '37.1 %', '799', '1.3 %', '34,025', '57.3 %', '24,365', '41.0 %', '972', '1.6 %', '33,248', '56.1 %']"
2018,29,6,"['29', '34,069', '57.9 %', '24,331', '41.4 %', '431', '0.7 %', '36,709', '62.5 %', '21,132', '36.0 %', '860', '1.5 %', '34,274', '58.5 %', '23,167', '39.5 %', '1,155', '2.0 %', '33,550', '57.4 %']"
2018,30,6,"['30', '44,230', '74.5 %', '14,784', '24.9 %', '340', '0.6 %', '45,681', '77.0 %', '13,016', '22.0 %', '591', '1.0 %', '42,995', '73.0 %', '14,961', '25.4 %', '959', '1.6 %', '42,714', '72.7 %']"
2018,31,6,"['31', '25,654', '53.3 %', '22,142', '46.0 %', '297', '0.6 %', '27,792', '58.8 %', '18,999', '40.2 %', '437', '0.9 %', '24,437', '53.0 %', '20,823', '45.1 %', '861', '1.9 %', '23,861', '51.8 %']"
2018,32,6,"['32', '34,676', '58.1 %', '24,517', '41.1 %', '494', '0.8 %', '38,722', '65.0 %', '19,970', '33.5 %', '910', '1.5 %', '34,605', '58.6 %', '23,065', '39.0 %', '1,425', '2.4 %', '34,155', '57.9 %']"
2018,1,7,"['1', '16,203', '25.6 %', '967', '1.5 %', '46,680', '74.3 %', '14,719', '23.4 %', '1,435', '2.3 %', '46,729', '74.1 %', '14,736', '23.4 %', '1,634', '2.6 %', '46,218', '73.4 %', '15,703', '24.9 %']"
2018,2,7,"['2', '12,511', '21.7 %', '1,166', '2.0 %', '45,255', '79.2 %', '10,329', '18.1 %', '1,546', '2.7 %', '45,599', '79.3 %', '10,272', '17.9 %', '1,636', '2.8 %', '44,622', '78.0 %', '11,510', '20.1 %']"
2018,3,7,"['3', '12,658', '21.9 %', '1,177', '2.0 %', '45,020', '78.4 %', '11,078', '19.3 %', '1,361', '2.4 %', '44,383', '77.0 %', '11,242', '19.5 %', '2,030', '3.5 %', '44,067', '76.7 %', '12,397', '21.6 %']"
2018,4,7,"['4', '15,237', '28.8 %', '1,099', '2.1 %', '37,747', '71.7 %', '13,497', '25.6 %', '1,376', '2.6 %', '38,023', '71.9 %', '13,298', '25.2 %', '1,527', '2.9 %', '37,201', '70.6 %', '14,513', '27.6 %']"
2018,5,7,"['5', '12,631', '20.5 %', '1,060', '1.7 %', '48,680', '79.3 %', '11,334', '18.5 %', '1,361', '2.2 %', '48,207', '78.3 %', '11,522', '18.7 %', '1,822', '3.0 %', '48,180', '78.4 %', '12,228', '19.9 %']"
2018,6,7,"['6', '18,964', '30.6 %', '1,255', '2.0 %', '42,544', '69.1 %', '17,498', '28.4 %', '1,494', '2.4 %', '42,119', '68.4 %', '17,534', '28.5 %', '1,942', '3.2 %', '41,771', '67.9 %', '18,515', '30.1 %']"
2018,7,7,"['7', '18,352', '29.7 %', '1,074', '1.7 %', '43,266', '70.4 %', '16,762', '27.3 %', '1,388', '2.3 %', '43,158', '70.0 %', '16,755', '27.2 %', '1,701', '2.8 %', '42,597', '69.3 %', '17,876', '29.1 %']"
2018,8,7,"['8', '12,645', '22.7 %', '993', '1.8 %', '42,864', '77.4 %', '11,236', '20.3 %', '1,251', '2.3 %', '42,527', '76.5 %', '11,361', '20.4 %', '1,703', '3.1 %', '42,301', '76.3 %', '12,230', '22.1 %']"
2018,9,7,"['9', '15,791', '24.2 %', '969', '1.5 %', '49,073', '75.7 %', '14,335', '22.1 %', '1,389', '2.1 %', '48,947', '75.2 %', '14,455', '22.2 %', '1,711', '2.6 %', '48,533', '74.7 %', '15,414', '23.7 %']"
2018,10,7,"['10', '18,586', '31.0 %', '1,551', '2.6 %', '41,213', '69.3 %', '16,114', '27.1 %', '2,142', '3.6 %', '41,958', '70.1 %', '15,958', '26.7 %', '1,937', '3.2 %', '40,575', '68.0 %', '17,716', '29.7 %']"
2018,11,7,"['11', '15,582', '25.1 %', '926', '1.5 %', '45,869', '74.5 %', '14,279', '23.2 %', '1,422', '2.3 %', '45,603', '73.7 %', '14,540', '23.5 %', '1,706', '2.8 %', '45,524', '73.7 %', '15,279', '24.7 %']"
2018,12,7,"['12', '17,189', '28.6 %', '1,338', '2.2 %', '42,831', '71.8 %', '15,154', '25.4 %', '1,707', '2.9 %', '42,490', '70.9 %', '15,531', '25.9 %', '1,900', '3.2 %', '41,525', '69.5 %', '16,989', '28.4 %']"
2018,13,7,"['13', '16,187', '29.4 %', '1,024', '1.9 %', '38,930', '71.2 %', '14,463', '26.4 %', '1,320', '2.4 %', '38,520', '70.2 %', '14,639', '26.7 %', '1,714', '3.1 %', '38,308', '69.7 %', '15,746', '28.7 %']"
2018,14,7,"['14', '22,448', '42.4 %', '1,800', '3.4 %', '30,013', '57.2 %', '20,056', '38.2 %', '2,440', '4.6 %', '30,643', '58.1 %', '19,917', '37.7 %', '2,227', '4.2 %', '28,927', '54.9 %', '22,067', '41.9 %']"
2018,15,7,"['15', '23,249', '33.9 %', '1,668', '2.4 %', '45,893', '67.3 %', '20,200', '29.6 %', '2,055', '3.0 %', '45,402', '66.3 %', '20,560', '30.0 %', '2,468', '3.6 %', '44,064', '64.7 %', '22,537', '33.1 %']"
2018,16,7,"['16', '12,241', '21.5 %', '1,160', '2.0 %', '44,564', '78.7 %', '10,667', '18.8 %', '1,375', '2.4 %', '44,102', '77.6 %', '10,871', '19.1 %', '1,833', '3.2 %', '43,802', '77.4 %', '11,803', '20.9 %']"
2018,17,7,"['17', '21,715', '36.9 %', '1,807', '3.1 %', '37,037', '63.3 %', '19,264', '32.9 %', '2,195', '3.8 %', '36,743', '62.6 %', '19,440', '33.1 %', '2,519', '4.3 %', '35,432', '60.5 %', '21,416', '36.6 %']"
2018,18,7,"['18', '10,043', '18.0 %', '941', '1.7 %', '45,147', '81.6 %', '8,976', '16.2 %', '1,229', '2.2 %', '44,586', '80.3 %', '9,159', '16.5 %', '1,811', '3.3 %', '44,686', '80.4 %', '9,941', '17.9 %']"
2018,19,7,"['19', '25,200', '29.1 %', '2,368', '2.7 %', '62,458', '72.2 %', '21,352', '24.7 %', '2,671', '3.1 %', '61,724', '71.2 %', '21,449', '24.7 %', '3,523', '4.1 %', '60,247', '69.6 %', '24,074', '27.8 %']"
2018,20,7,"['20', '31,571', '41.1 %', '2,639', '3.4 %', '45,368', '59.6 %', '27,765', '36.5 %', '2,946', '3.9 %', '45,411', '59.5 %', '27,692', '36.3 %', '3,161', '4.1 %', '43,321', '57.0 %', '30,253', '39.8 %']"
2018,21,7,"['21', '14,445', '22.8 %', '980', '1.5 %', '48,466', '76.9 %', '13,152', '20.9 %', '1,414', '2.2 %', '48,477', '76.6 %', '13,065', '20.6 %', '1,766', '2.8 %', '47,798', '75.8 %', '14,276', '22.6 %']"
